month_key,fiscal_year,fiscal_month,fiscal_month_no,fiscal_quarter,weeks_in_month,channel_key,channel,division,department,plan_version,plan_sales_dollars,plan_sales_units,plan_aur,plan_markdown_dollars,plan_shrink_dollars,plan_gross_margin_pct,plan_gross_margin_dollars,plan_bom_retail,plan_eom_retail,plan_receipts_retail,plan_receipts_cost,plan_weeks_of_supply,plan_turn
FY2025-09,2025,Oct,9,Q3,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,28201.6,1130,24.97,3619.41,112.81,0.5117,14429.61,63145.59,83567.09,52355.32,18847.91,9.0,0.384
FY2025-10,2025,Nov,10,Q4,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,40610.31,1627,24.97,5070.99,162.44,0.5151,20919.6,83567.09,120832.13,83108.78,29919.16,8.2,0.397
FY2025-11,2025,Dec,11,Q4,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,43994.5,1762,24.97,5911.76,175.98,0.5056,22244.72,120832.13,104412.86,33662.97,12118.67,13.7,0.391
FY2025-12,2025,Jan,12,Q4,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,17767.01,712,24.97,2312.94,71.07,0.5098,9057.95,104412.86,84261.84,0.0,0.0,23.5,0.188
FY2026-01,2026,Feb,1,Q1,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,24625.64,986,24.97,3319.9,98.5,0.5052,12440.51,84261.84,67569.69,11351.88,4086.68,13.7,0.324
FY2026-02,2026,Mar,2,Q1,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,35274.56,1413,24.97,4276.75,141.1,0.5188,18298.97,67569.69,80477.5,52600.23,18936.08,9.6,0.477
FY2026-03,2026,Apr,3,Q1,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,39267.91,1573,24.97,5492.99,157.07,0.5001,19638.47,80477.5,118056.34,82496.82,29698.86,8.2,0.396
FY2026-04,2026,May,4,Q2,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,36272.9,1453,24.97,5019.77,145.09,0.5016,18194.88,118056.34,101000.55,24381.97,8777.51,13.0,0.331
FY2026-05,2026,Jun,5,Q2,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,32945.11,1320,24.97,4322.19,131.78,0.5088,16762.69,101000.55,77416.07,13814.6,4973.26,15.3,0.369
FY2026-06,2026,Jul,6,Q2,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,27953.43,1120,24.97,3927.94,111.81,0.4995,13962.26,77416.07,83927.52,38504.63,13861.67,11.1,0.347
FY2026-07,2026,Aug,7,Q3,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,29284.54,1173,24.97,4029.36,117.14,0.5024,14712.75,83927.52,81814.69,31318.21,11274.56,11.5,0.353
FY2026-08,2026,Sep,8,Q3,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,31614.0,1266,24.97,4043.3,126.46,0.5121,16189.66,81814.69,73019.46,26988.52,9715.87,12.9,0.408
FY2026-09,2026,Oct,9,Q3,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,33277.89,1333,24.97,4021.1,133.11,0.5192,17276.75,73019.46,90803.83,55216.47,19877.93,8.8,0.406
FY2026-10,2026,Nov,10,Q4,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,47920.16,1919,24.97,5914.47,191.68,0.5166,24754.43,90803.83,141064.55,104287.04,37543.33,7.6,0.413
FY2026-11,2026,Dec,11,Q4,5,ECOM,Ecommerce,Baby,Accessories,Original Plan,51913.51,2079,24.97,7981.53,207.65,0.4863,25243.12,141064.55,114855.95,33894.1,12201.87,13.6,0.406
FY2026-12,2026,Jan,12,Q4,4,ECOM,Ecommerce,Baby,Accessories,Original Plan,20965.07,840,24.97,3171.59,83.86,0.4887,10246.05,114855.95,90635.43,0.0,0.0,21.9,0.204
FY2024-01,2024,Feb,1,Q1,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,18268.58,732,24.97,2349.6,73.07,0.5114,9342.29,47705.47,49760.69,22746.46,8188.73,10.4,0.375
FY2024-02,2024,Mar,2,Q1,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,27152.86,1088,24.97,3978.35,108.61,0.4935,13399.48,49760.69,66012.75,47491.89,17097.08,9.2,0.469
FY2024-03,2024,Apr,3,Q1,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,28932.72,1159,24.97,3790.35,115.73,0.509,14726.59,66012.75,79109.42,45935.47,16536.77,9.1,0.399
FY2024-04,2024,May,4,Q2,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,28132.33,1127,24.97,3992.88,112.53,0.4981,14011.81,79109.42,78109.66,31237.99,11245.67,11.2,0.358
FY2024-05,2024,Jun,5,Q2,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,24514.05,982,24.97,3064.87,98.06,0.515,12624.12,78109.66,59006.56,8573.87,3086.59,15.9,0.358
FY2024-06,2024,Jul,6,Q2,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,21076.65,844,24.97,2477.01,84.31,0.5225,11012.04,59006.56,61606.76,26238.18,9445.75,11.2,0.349
FY2024-07,2024,Aug,7,Q3,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,21829.51,874,24.97,2814.8,87.32,0.5111,11156.08,61606.76,60455.83,23580.7,8489.05,11.3,0.358
FY2024-08,2024,Sep,8,Q3,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,23894.28,957,24.97,3420.64,95.58,0.4968,11871.7,60455.83,54841.81,21796.48,7846.73,12.7,0.414
FY2024-09,2024,Oct,9,Q3,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,24781.71,993,24.97,3812.3,99.13,0.4862,12048.0,54841.81,73961.61,47812.93,17212.65,8.9,0.385
FY2024-10,2024,Nov,10,Q4,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,36577.84,1465,24.97,5180.63,146.31,0.4984,18229.19,73961.61,104106.87,72050.04,25938.01,8.1,0.411
FY2024-11,2024,Dec,11,Q4,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,37102.52,1486,24.97,4814.64,148.41,0.5102,18930.97,104106.87,81270.26,19228.96,6922.43,14.0,0.4
FY2024-12,2024,Jan,12,Q4,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,16073.48,644,24.97,2027.22,64.29,0.5139,8259.81,81270.26,63105.26,0.0,0.0,20.2,0.223
FY2025-01,2025,Feb,1,Q1,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,20400.79,817,24.97,2737.04,81.6,0.5058,10319.47,63105.26,56160.67,16274.84,5858.94,12.4,0.342
FY2025-02,2025,Mar,2,Q1,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,31562.1,1264,24.97,4378.22,126.25,0.5013,15821.52,56160.67,70779.39,50685.28,18246.7,8.9,0.497
FY2025-03,2025,Apr,3,Q1,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,34637.14,1387,24.97,5141.86,138.55,0.4916,17025.91,70779.39,99227.91,68366.06,24611.78,8.2,0.407
FY2025-04,2025,May,4,Q2,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,30497.35,1221,24.97,3972.67,121.99,0.5097,15545.64,99227.91,87296.8,22660.9,8157.92,13.0,0.327
FY2025-05,2025,Jun,5,Q2,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,27954.47,1120,24.97,4029.2,111.82,0.4959,13861.66,87296.8,60843.18,5641.87,2031.07,15.6,0.377
FY2025-06,2025,Jul,6,Q2,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,24478.67,980,24.97,2997.85,97.91,0.5175,12668.5,60843.18,73411.45,40142.71,14451.38,9.9,0.365
FY2025-07,2025,Aug,7,Q3,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,25226.08,1010,24.97,3231.53,100.9,0.5119,12913.16,73411.45,70448.96,25596.02,9214.57,11.6,0.351
FY2025-08,2025,Sep,8,Q3,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,26906.24,1078,24.97,4034.94,107.62,0.49,13185.06,70448.96,64535.46,25135.3,9048.71,13.1,0.399
FY2025-09,2025,Oct,9,Q3,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,28216.16,1130,24.97,3890.58,112.86,0.5021,14167.76,64535.46,85617.08,53301.23,19188.44,9.1,0.376
FY2025-10,2025,Nov,10,Q4,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,40497.76,1622,24.97,5749.39,161.99,0.498,20169.18,85617.08,119115.54,79907.59,28766.73,8.5,0.396
FY2025-11,2025,Dec,11,Q4,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,45032.84,1804,24.97,6160.62,180.13,0.5032,22660.39,119115.54,98100.48,30358.54,10929.07,13.2,0.415
FY2025-12,2025,Jan,12,Q4,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,17839.02,714,24.97,2320.72,71.36,0.5099,9096.25,98100.48,77869.38,0.0,0.0,22.0,0.203
FY2026-01,2026,Feb,1,Q1,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,25529.45,1022,24.97,3878.55,102.12,0.4881,12460.3,77869.38,77533.25,29173.99,10502.64,12.2,0.329
FY2026-02,2026,Mar,2,Q1,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,35423.55,1419,24.97,4332.46,141.69,0.5177,18338.61,77533.25,78081.6,40446.06,14560.58,10.9,0.455
FY2026-03,2026,Apr,3,Q1,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,40559.25,1624,24.97,5063.07,162.24,0.5152,20894.85,78081.6,111668.78,79371.74,28573.83,7.7,0.428
FY2026-04,2026,May,4,Q2,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,36728.46,1471,24.97,4920.77,146.91,0.506,18585.44,111668.78,107309.42,37436.78,13477.24,12.2,0.335
FY2026-05,2026,Jun,5,Q2,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,33989.77,1361,24.97,4329.06,135.96,0.5126,17424.39,107309.42,73792.34,4937.72,1777.58,15.8,0.375
FY2026-06,2026,Jul,6,Q2,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,29171.6,1168,24.97,4254.28,116.69,0.4942,14415.54,73792.34,81382.06,41132.29,14807.62,10.1,0.376
FY2026-07,2026,Aug,7,Q3,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,29623.62,1186,24.97,4252.25,118.49,0.4965,14706.87,81382.06,83108.72,35721.03,12859.57,11.0,0.36
FY2026-08,2026,Sep,8,Q3,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,32691.65,1309,24.97,4687.24,130.77,0.4966,16235.41,83108.72,72608.0,27008.94,9723.22,12.7,0.42
FY2026-09,2026,Oct,9,Q3,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,33975.76,1361,24.97,4638.75,135.9,0.5035,17105.73,72608.0,94324.26,60466.68,21768.0,8.5,0.407
FY2026-10,2026,Nov,10,Q4,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,48728.73,1952,24.97,5987.42,194.91,0.5171,25198.96,94324.26,142428.01,103014.81,37085.33,7.7,0.412
FY2026-11,2026,Dec,11,Q4,5,ECOM,Ecommerce,Baby,Accessories,Current Plan,52906.42,2119,24.97,7454.54,211.63,0.4991,26405.58,142428.01,117429.6,35574.17,12806.7,13.5,0.407
FY2026-12,2026,Jan,12,Q4,4,ECOM,Ecommerce,Baby,Accessories,Current Plan,21800.1,873,24.97,2693.12,87.2,0.5165,11258.95,117429.6,92849.18,0.0,0.0,21.5,0.207
FY2024-01,2024,Feb,1,Q1,4,STORE,Retail Stores,Baby,Accessories,Original Plan,8321.05,333,24.97,831.39,74.89,0.5401,4494.08,23815.68,24279.86,9691.5,3488.94,11.4,0.346
FY2024-02,2024,Mar,2,Q1,5,STORE,Retail Stores,Baby,Accessories,Original Plan,11919.34,477,24.97,1374.06,107.27,0.5247,6254.32,24279.86,28247.53,17368.35,6252.6,10.2,0.454
FY2024-03,2024,Apr,3,Q1,4,STORE,Retail Stores,Baby,Accessories,Original Plan,13268.7,531,24.97,1354.04,119.42,0.538,7137.93,28247.53,38949.03,25443.65,9159.71,8.5,0.395
FY2024-04,2024,May,4,Q2,4,STORE,Retail Stores,Baby,Accessories,Original Plan,12256.68,491,24.97,1438.34,110.31,0.5226,6405.93,38949.03,37109.84,11966.14,4307.81,12.7,0.322
FY2024-05,2024,Jun,5,Q2,5,STORE,Retail Stores,Baby,Accessories,Original Plan,11132.21,446,24.97,1121.13,100.19,0.5393,6003.49,37109.84,24888.13,131.82,47.45,16.7,0.359
FY2024-06,2024,Jul,6,Q2,4,STORE,Retail Stores,Baby,Accessories,Original Plan,9445.51,378,24.97,973.98,85.01,0.5369,5071.14,24888.13,25749.66,11366.03,4091.77,10.5,0.373
FY2024-07,2024,Aug,7,Q3,4,STORE,Retail Stores,Baby,Accessories,Original Plan,9895.3,396,24.97,950.46,89.06,0.5439,5382.53,25749.66,29583.47,14768.62,5316.7,10.4,0.358
FY2024-08,2024,Sep,8,Q3,5,STORE,Retail Stores,Baby,Accessories,Original Plan,10682.43,428,24.97,1140.09,96.14,0.5333,5696.66,29583.47,25330.23,7665.42,2759.55,13.8,0.389
FY2024-09,2024,Oct,9,Q3,4,STORE,Retail Stores,Baby,Accessories,Original Plan,11244.66,450,24.97,1207.3,101.2,0.5326,5989.28,25330.23,30713.08,17936.01,6456.96,9.0,0.401
FY2024-10,2024,Nov,10,Q4,4,STORE,Retail Stores,Baby,Accessories,Original Plan,16192.31,649,24.97,1519.27,145.73,0.5462,8843.81,30713.08,49267.5,36411.73,13108.22,7.6,0.405
FY2024-11,2024,Dec,11,Q4,5,STORE,Retail Stores,Baby,Accessories,Original Plan,17541.67,703,24.97,2029.41,157.87,0.5243,9197.26,49267.5,38376.15,8837.6,3181.54,14.0,0.4
FY2024-12,2024,Jan,12,Q4,4,STORE,Retail Stores,Baby,Accessories,Original Plan,7084.13,284,24.97,833.18,63.76,0.5224,3700.66,38376.15,30395.07,0.0,0.0,21.7,0.206
FY2025-01,2025,Feb,1,Q1,4,STORE,Retail Stores,Baby,Accessories,Original Plan,9485.99,380,24.97,1114.2,85.37,0.5225,4956.83,30395.07,25857.28,6147.78,2213.2,12.8,0.337
FY2025-02,2025,Mar,2,Q1,5,STORE,Retail Stores,Baby,Accessories,Original Plan,13588.04,544,24.97,1379.14,122.29,0.5385,7317.2,25857.28,31716.22,20948.41,7541.43,9.5,0.472
FY2025-03,2025,Apr,3,Q1,4,STORE,Retail Stores,Baby,Accessories,Original Plan,15126.31,606,24.97,1822.54,136.14,0.5195,7858.3,31716.22,43620.14,28988.91,10436.01,8.4,0.402
FY2025-04,2025,May,4,Q2,4,STORE,Retail Stores,Baby,Accessories,Original Plan,13972.61,560,24.97,1663.43,125.75,0.521,7279.04,43620.14,39420.22,11561.87,4162.27,12.5,0.337
FY2025-05,2025,Jun,5,Q2,5,STORE,Retail Stores,Baby,Accessories,Original Plan,12690.72,508,24.97,1423.7,114.22,0.5278,6698.36,39420.22,30565.58,5374.0,1934.64,15.5,0.363
FY2025-06,2025,Jul,6,Q2,4,STORE,Retail Stores,Baby,Accessories,Original Plan,10767.88,431,24.97,1135.15,96.91,0.5346,5756.3,30565.58,30967.8,12402.16,4464.78,11.4,0.35
FY2025-07,2025,Aug,7,Q3,4,STORE,Retail Stores,Baby,Accessories,Original Plan,11280.64,452,24.97,1319.0,101.53,0.5231,5900.61,30967.8,32359.31,14092.68,5073.36,11.0,0.356
FY2025-08,2025,Sep,8,Q3,5,STORE,Retail Stores,Baby,Accessories,Original Plan,12177.96,488,24.97,1215.51,109.6,0.5402,6578.38,32359.31,27372.05,8515.82,3065.7,13.3,0.408
FY2025-09,2025,Oct,9,Q3,4,STORE,Retail Stores,Baby,Accessories,Original Plan,12818.91,513,24.97,1534.27,115.37,0.5203,6669.83,27372.05,38810.13,25906.63,9326.39,8.5,0.387
FY2025-10,2025,Nov,10,Q4,4,STORE,Retail Stores,Baby,Accessories,Original Plan,18459.23,739,24.97,1786.71,166.13,0.5432,10027.19,38810.13,51557.27,33159.22,11937.32,8.4,0.409
FY2025-11,2025,Dec,11,Q4,5,STORE,Retail Stores,Baby,Accessories,Original Plan,19997.5,801,24.97,2047.68,179.98,0.5376,10750.72,51557.27,46965.19,17633.07,6347.91,12.9,0.406
FY2025-12,2025,Jan,12,Q4,4,STORE,Retail Stores,Baby,Accessories,Original Plan,8075.91,323,24.97,932.48,72.68,0.5245,4236.11,46965.19,37884.11,0.0,0.0,23.3,0.19
FY2026-01,2026,Feb,1,Q1,4,STORE,Retail Stores,Baby,Accessories,Original Plan,11193.47,448,24.97,1098.0,100.74,0.5419,6065.82,37884.11,31087.39,5595.49,2014.38,13.5,0.325
FY2026-02,2026,Mar,2,Q1,5,STORE,Retail Stores,Baby,Accessories,Original Plan,16033.89,642,24.97,1467.9,144.31,0.5485,8793.79,31087.39,38688.68,25247.39,9089.06,9.7,0.46
FY2026-03,2026,Apr,3,Q1,4,STORE,Retail Stores,Baby,Accessories,Original Plan,17849.05,715,24.97,1944.67,160.64,0.531,9478.73,38688.68,48341.94,29607.62,10658.74,8.7,0.41
FY2026-04,2026,May,4,Q2,4,STORE,Retail Stores,Baby,Accessories,Original Plan,16487.68,660,24.97,1770.76,148.39,0.5326,8781.36,48341.94,47008.41,17073.3,6146.39,11.7,0.346
FY2026-05,2026,Jun,5,Q2,5,STORE,Retail Stores,Baby,Accessories,Original Plan,14975.05,600,24.97,1417.13,134.78,0.5454,8166.91,47008.41,36087.6,5606.14,2018.21,15.7,0.36
FY2026-06,2026,Jul,6,Q2,4,STORE,Retail Stores,Baby,Accessories,Original Plan,12706.1,509,24.97,1413.15,114.35,0.5288,6718.76,36087.6,36383.57,14529.58,5230.65,11.4,0.351
FY2026-07,2026,Aug,7,Q3,4,STORE,Retail Stores,Baby,Accessories,Original Plan,13311.16,533,24.97,1324.74,119.8,0.5405,7194.4,36383.57,36383.52,14755.64,5312.03,10.9,0.366
FY2026-08,2026,Sep,8,Q3,5,STORE,Retail Stores,Baby,Accessories,Original Plan,14370.0,576,24.97,1662.27,129.33,0.5243,7534.53,36383.52,33115.92,12893.99,4641.84,12.7,0.414
FY2026-09,2026,Oct,9,Q3,4,STORE,Retail Stores,Baby,Accessories,Original Plan,15126.31,606,24.97,1353.94,136.14,0.5505,8326.9,33115.92,45058.55,28559.02,10281.25,8.8,0.387
FY2026-10,2026,Nov,10,Q4,4,STORE,Retail Stores,Baby,Accessories,Original Plan,21781.89,872,24.97,2562.47,196.04,0.5224,11377.94,45058.55,64949.36,44431.21,15995.24,8.3,0.396
FY2026-11,2026,Dec,11,Q4,5,STORE,Retail Stores,Baby,Accessories,Original Plan,23597.05,945,24.97,2137.35,212.37,0.5494,12964.76,64949.36,55048.73,16046.15,5776.61,13.8,0.393
FY2026-12,2026,Jan,12,Q4,4,STORE,Retail Stores,Baby,Accessories,Original Plan,9529.58,382,24.97,953.96,85.77,0.5399,5144.97,55048.73,44479.43,0.0,0.0,23.1,0.191
FY2024-01,2024,Feb,1,Q1,4,STORE,Retail Stores,Baby,Accessories,Current Plan,8548.73,342,24.97,987.81,76.94,0.5245,4483.38,24094.06,25131.15,10650.57,3834.2,11.3,0.347
FY2024-02,2024,Mar,2,Q1,5,STORE,Retail Stores,Baby,Accessories,Current Plan,12085.57,484,24.97,1405.94,108.77,0.5237,6328.83,25131.15,27379.05,15848.18,5705.34,10.4,0.46
FY2024-03,2024,Apr,3,Q1,4,STORE,Retail Stores,Baby,Accessories,Current Plan,12834.5,514,24.97,1251.62,115.51,0.5425,6962.47,27379.05,36139.03,22961.61,8266.18,8.5,0.404
FY2024-04,2024,May,4,Q2,4,STORE,Retail Stores,Baby,Accessories,Current Plan,12131.14,486,24.97,1454.39,109.18,0.5201,6309.54,36139.03,36002.06,13557.74,4880.79,11.9,0.336
FY2024-05,2024,Jun,5,Q2,5,STORE,Retail Stores,Baby,Accessories,Current Plan,11267.71,451,24.97,1192.08,101.41,0.5342,6019.25,36002.06,26595.98,3155.13,1135.85,16.0,0.36
FY2024-06,2024,Jul,6,Q2,4,STORE,Retail Stores,Baby,Accessories,Current Plan,9378.02,376,24.97,885.63,84.4,0.5456,5116.31,26595.98,26609.1,10361.17,3730.02,11.3,0.353
FY2024-07,2024,Aug,7,Q3,4,STORE,Retail Stores,Baby,Accessories,Current Plan,10071.72,403,24.97,1060.32,90.65,0.5347,5385.58,26609.1,30428.32,15041.89,5415.08,10.6,0.353
FY2024-08,2024,Sep,8,Q3,5,STORE,Retail Stores,Baby,Accessories,Current Plan,10990.37,440,24.97,1202.83,98.91,0.5306,5831.01,30428.32,25119.18,6982.97,2513.87,13.8,0.396
FY2024-09,2024,Oct,9,Q3,4,STORE,Retail Stores,Baby,Accessories,Current Plan,11159.77,447,24.97,1321.43,100.44,0.5216,5820.83,25119.18,33593.95,21056.4,7580.3,9.0,0.38
FY2024-10,2024,Nov,10,Q4,4,STORE,Retail Stores,Baby,Accessories,Current Plan,16372.67,656,24.97,1712.7,147.35,0.5354,8765.81,33593.95,49451.93,34090.7,12272.65,8.2,0.394
FY2024-11,2024,Dec,11,Q4,5,STORE,Retail Stores,Baby,Accessories,Current Plan,17705.38,709,24.97,1940.82,159.35,0.5304,9390.62,49451.93,39322.83,9676.45,3483.52,14.0,0.399
FY2024-12,2024,Jan,12,Q4,4,STORE,Retail Stores,Baby,Accessories,Current Plan,7288.81,292,24.97,816.77,65.6,0.5279,3848.07,39322.83,31151.66,0.0,0.0,21.6,0.207
FY2025-01,2025,Feb,1,Q1,4,STORE,Retail Stores,Baby,Accessories,Current Plan,9467.19,379,24.97,1008.46,85.2,0.5335,5050.54,31151.66,25918.21,5327.42,1917.87,13.2,0.332
FY2025-02,2025,Mar,2,Q1,5,STORE,Retail Stores,Baby,Accessories,Current Plan,13470.26,540,24.97,1394.86,121.23,0.5364,7226.11,25918.21,29539.47,18607.61,6698.74,9.6,0.486
FY2025-03,2025,Apr,3,Q1,4,STORE,Retail Stores,Baby,Accessories,Current Plan,15141.67,606,24.97,1742.79,136.28,0.5249,7947.88,29539.47,45417.02,32898.29,11843.39,7.8,0.404
FY2025-04,2025,May,4,Q2,4,STORE,Retail Stores,Baby,Accessories,Current Plan,14456.81,579,24.97,1657.52,130.11,0.5253,7594.84,45417.02,41837.76,12665.18,4559.46,12.6,0.331
FY2025-05,2025,Jun,5,Q2,5,STORE,Retail Stores,Baby,Accessories,Current Plan,12777.5,512,24.97,1331.33,115.0,0.5358,6846.27,41837.76,28542.68,928.75,334.35,16.4,0.363
FY2025-06,2025,Jul,6,Q2,4,STORE,Retail Stores,Baby,Accessories,Current Plan,11128.4,446,24.97,1029.76,100.16,0.5475,6092.42,28542.68,30680.36,14396.0,5182.56,10.3,0.376
FY2025-07,2025,Aug,7,Q3,4,STORE,Retail Stores,Baby,Accessories,Current Plan,11618.55,465,24.97,1306.31,104.57,0.5276,6129.56,30680.36,32922.67,15271.73,5497.82,10.6,0.365
FY2025-08,2025,Sep,8,Q3,5,STORE,Retail Stores,Baby,Accessories,Current Plan,12254.16,491,24.97,1389.71,110.29,0.5266,6452.96,32922.67,28042.44,8873.92,3194.61,13.4,0.402
