month_key,fiscal_year,fiscal_month,fiscal_month_no,channel_key,channel,division,department,plan_receipts_cost,on_order_cost,open_to_buy_cost,coverage_pct,lead_time_weeks,po_placement_by,po_status
FY2026-09,2026,Oct,9,WHSL,Wholesale,Baby,Rompers,27966.9,25259.51,2707.39,0.9032,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Baby,Rompers,4189.6,3399.13,790.47,0.8113,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Baby,Rompers,3886.05,2512.58,1373.47,0.6466,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Baby,Rompers,11132.16,4883.95,6248.21,0.4387,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Baby,Sets,17573.66,17573.66,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Baby,Sets,9367.33,9367.33,0.0,1.0,17.0,2026-05-03,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Baby,Sets,25792.08,22408.42,3383.66,0.8688,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Baby,Sets,41341.42,33068.31,8273.11,0.7999,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Baby,Sets,18933.15,12489.16,6443.99,0.6596,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Baby,Sets,0.0,0.0,0.0,,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Baby,Sets,8835.39,8835.39,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Baby,Sets,2591.42,2461.05,130.37,0.9497,17.0,2026-05-03,Past due
FY2026-09,2026,Oct,9,STORE,Retail Stores,Baby,Sets,13343.73,10303.94,3039.79,0.7722,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Baby,Sets,16905.19,12000.62,4904.57,0.7099,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Baby,Sets,9098.79,6305.08,2793.71,0.693,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,STORE,Retail Stores,Baby,Sets,0.0,0.0,0.0,,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Baby,Sets,0.0,0.0,0.0,,17.0,2026-04-05,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Baby,Sets,8515.52,8250.54,264.98,0.9689,17.0,2026-05-03,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Baby,Sets,15348.72,13839.03,1509.69,0.9016,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Baby,Sets,2523.99,1973.41,550.58,0.7819,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Baby,Sets,2125.65,1320.55,805.1,0.6212,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,WHSL,Wholesale,Baby,Sets,6025.49,3549.55,2475.94,0.5891,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Baby,Sleepwear,39082.7,39082.7,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Baby,Sleepwear,22885.47,22067.65,817.82,0.9643,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Baby,Sleepwear,57036.74,56219.63,817.11,0.9857,15.0,2026-06-21,Committed
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Baby,Sleepwear,112765.8,82198.19,30567.61,0.7289,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Baby,Sleepwear,41253.71,29967.39,11286.32,0.7264,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Baby,Sleepwear,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Baby,Sleepwear,18526.84,18526.84,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Baby,Sleepwear,12395.29,12395.29,0.0,1.0,15.0,2026-05-17,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Baby,Sleepwear,27453.1,24615.6,2837.5,0.8966,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Baby,Sleepwear,41702.29,31735.47,9966.82,0.761,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Baby,Sleepwear,22492.95,16236.74,6256.21,0.7219,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Baby,Sleepwear,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Baby,Sleepwear,427.41,427.41,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Baby,Sleepwear,21306.45,21306.45,0.0,1.0,15.0,2026-05-17,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Baby,Sleepwear,34501.45,34204.73,296.72,0.9914,15.0,2026-06-21,Committed
FY2026-10,2026,Nov,10,WHSL,Wholesale,Baby,Sleepwear,7661.4,5619.4,2042.0,0.7335,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Baby,Sleepwear,4547.6,3054.88,1492.72,0.6718,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Baby,Sleepwear,15403.37,8742.51,6660.86,0.5676,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Boys,Bottoms,17843.15,17843.15,0.0,1.0,13.0,2026-05-03,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Boys,Bottoms,16754.14,16706.35,47.79,0.9971,13.0,2026-05-31,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Boys,Bottoms,28323.32,24303.74,4019.58,0.8581,13.0,2026-07-05,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Boys,Bottoms,50254.24,34589.28,15664.96,0.6883,13.0,2026-08-02,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Boys,Bottoms,16364.86,12381.54,3983.32,0.7566,13.0,2026-08-30,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Boys,Bottoms,0.0,0.0,0.0,,13.0,2026-10-04,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Boys,Bottoms,7994.34,7994.34,0.0,1.0,13.0,2026-05-03,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Boys,Bottoms,4701.06,4701.06,0.0,1.0,13.0,2026-05-31,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Boys,Bottoms,15541.09,14163.93,1377.16,0.9114,13.0,2026-07-05,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Boys,Bottoms,21473.04,16255.9,5217.14,0.757,13.0,2026-08-02,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Boys,Bottoms,7694.93,5072.83,2622.1,0.6592,13.0,2026-08-30,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Boys,Bottoms,0.0,0.0,0.0,,13.0,2026-10-04,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Boys,Bottoms,200.5,200.5,0.0,1.0,13.0,2026-05-03,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Boys,Bottoms,10877.88,9888.14,989.74,0.909,13.0,2026-05-31,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Boys,Bottoms,19236.24,14774.14,4462.1,0.768,13.0,2026-07-05,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Boys,Bottoms,2358.29,1691.6,666.69,0.7173,13.0,2026-08-02,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Boys,Bottoms,2428.06,1669.26,758.8,0.6875,13.0,2026-08-30,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Boys,Bottoms,7014.76,4200.68,2814.08,0.5988,13.0,2026-10-04,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Boys,Sets,14796.74,14796.74,0.0,1.0,12.0,2026-05-10,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Boys,Sets,10622.88,10311.74,311.14,0.9707,12.0,2026-06-07,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Boys,Sets,22379.03,20388.1,1990.93,0.911,12.0,2026-07-12,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Boys,Sets,38576.72,29606.19,8970.53,0.7675,12.0,2026-08-09,Open
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Boys,Sets,12962.23,8246.57,4715.66,0.6362,12.0,2026-09-06,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Boys,Sets,0.0,0.0,0.0,,12.0,2026-10-11,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Boys,Sets,6717.17,6717.17,0.0,1.0,12.0,2026-05-10,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Boys,Sets,3976.44,3647.53,328.91,0.9173,12.0,2026-06-07,Past due
FY2026-09,2026,Oct,9,STORE,Retail Stores,Boys,Sets,11241.97,9124.99,2116.98,0.8117,12.0,2026-07-12,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Boys,Sets,16333.06,11377.21,4955.85,0.6966,12.0,2026-08-09,Open
FY2026-11,2026,Dec,11,STORE,Retail Stores,Boys,Sets,6411.96,4133.52,2278.44,0.6447,12.0,2026-09-06,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Boys,Sets,0.0,0.0,0.0,,12.0,2026-10-11,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Boys,Sets,0.0,0.0,0.0,,12.0,2026-05-10,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Boys,Sets,8200.83,8200.83,0.0,1.0,12.0,2026-06-07,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Boys,Sets,12991.7,11970.08,1021.62,0.9214,12.0,2026-07-12,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Boys,Sets,2086.38,1713.14,373.24,0.8211,12.0,2026-08-09,Open
FY2026-11,2026,Dec,11,WHSL,Wholesale,Boys,Sets,1856.94,1471.95,384.99,0.7927,12.0,2026-09-06,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Boys,Sets,5521.64,3368.81,2152.83,0.6101,12.0,2026-10-11,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Boys,Sleepwear,13957.17,13957.17,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Boys,Sleepwear,9401.13,9401.13,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Boys,Sleepwear,22222.49,18883.85,3338.64,0.8498,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Boys,Sleepwear,29575.16,22260.41,7314.75,0.7527,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Boys,Sleepwear,16633.43,10545.3,6088.13,0.634,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Boys,Sleepwear,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Boys,Sleepwear,5986.61,5986.61,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Boys,Sleepwear,3613.22,3613.22,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Boys,Sleepwear,9333.15,8344.96,988.19,0.8941,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Boys,Sleepwear,14310.94,11072.23,3238.71,0.7737,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Boys,Sleepwear,8100.46,5920.47,2179.99,0.7309,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Boys,Sleepwear,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Boys,Sleepwear,78.34,78.34,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Boys,Sleepwear,7424.42,7177.13,247.29,0.9667,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Boys,Sleepwear,12585.98,11142.66,1443.32,0.8853,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Boys,Sleepwear,1722.56,1380.12,342.44,0.8012,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Boys,Sleepwear,1745.56,1099.45,646.11,0.6299,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Boys,Sleepwear,4930.57,2879.04,2051.53,0.5839,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Boys,Swim,7755.24,7755.24,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Boys,Swim,3788.54,3788.54,0.0,1.0,17.0,2026-05-03,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Boys,Swim,12158.92,11233.75,925.17,0.9239,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Boys,Swim,18513.2,15433.69,3079.51,0.8337,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Boys,Swim,7193.87,4365.07,2828.8,0.6068,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Boys,Swim,0.0,0.0,0.0,,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Boys,Swim,2944.63,2944.63,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Boys,Swim,2653.53,2653.53,0.0,1.0,17.0,2026-05-03,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Boys,Swim,4513.32,4272.37,240.95,0.9466,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Boys,Swim,8476.39,5870.86,2605.53,0.6926,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Boys,Swim,2728.83,1520.66,1208.17,0.5573,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,STORE,Retail Stores,Boys,Swim,0.0,0.0,0.0,,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Boys,Swim,170.88,170.88,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Boys,Swim,3948.62,3948.62,0.0,1.0,17.0,2026-05-03,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Boys,Swim,6942.32,6143.64,798.68,0.885,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Boys,Swim,1192.71,807.01,385.7,0.6766,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Boys,Swim,601.62,386.64,214.98,0.6427,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,WHSL,Wholesale,Boys,Swim,2550.83,1504.66,1046.17,0.5899,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Boys,Tops,32919.15,32919.15,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Boys,Tops,17696.9,17302.01,394.89,0.9777,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Boys,Tops,54917.72,47826.11,7091.61,0.8709,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Boys,Tops,101285.63,80530.78,20754.85,0.7951,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Boys,Tops,38523.35,26289.44,12233.91,0.6824,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Boys,Tops,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Boys,Tops,11769.81,11769.81,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Boys,Tops,11644.01,11644.01,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Boys,Tops,26618.73,21984.72,4634.01,0.8259,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Boys,Tops,39182.38,29341.08,9841.3,0.7488,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Boys,Tops,12892.46,8359.02,4533.44,0.6484,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Boys,Tops,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Boys,Tops,70.75,70.75,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Boys,Tops,20559.21,20559.21,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Boys,Tops,30951.11,28462.13,2488.98,0.9196,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Boys,Tops,5665.77,4702.54,963.23,0.83,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Boys,Tops,3714.28,2534.79,1179.49,0.6824,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Boys,Tops,13350.0,8110.14,5239.86,0.6075,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Bottoms,41393.5,41393.5,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Bottoms,39070.38,36350.69,2719.69,0.9304,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Bottoms,68266.42,57638.42,10628.0,0.8443,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Bottoms,129522.84,101251.97,28270.87,0.7817,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Bottoms,37298.73,25702.65,11596.08,0.6891,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Bottoms,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Bottoms,20590.83,20590.83,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Bottoms,12518.72,12026.67,492.05,0.9607,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Bottoms,34990.02,29305.81,5684.21,0.8375,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Bottoms,57365.48,42969.28,14396.2,0.749,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Bottoms,18421.31,12536.65,5884.66,0.6806,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Bottoms,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Bottoms,46.66,46.66,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Bottoms,29032.79,28929.34,103.45,0.9964,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Bottoms,41269.12,36254.21,5014.91,0.8785,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Bottoms,7831.94,5493.42,2338.52,0.7014,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Bottoms,6311.34,4943.77,1367.57,0.7833,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Bottoms,18229.98,10742.92,7487.06,0.5893,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Dresses,194512.51,194512.51,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Dresses,102500.11,99529.36,2970.75,0.971,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Dresses,258071.61,221680.23,36391.38,0.859,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Dresses,463324.86,343973.34,119351.52,0.7424,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Dresses,237253.9,158755.71,78498.19,0.6691,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Dresses,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Dresses,73040.73,73040.73,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Dresses,47210.01,47210.01,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Dresses,126832.83,122439.02,4393.81,0.9654,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Dresses,202911.41,148757.05,54154.36,0.7331,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Dresses,106724.68,68227.46,38497.22,0.6393,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Dresses,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Dresses,0.0,0.0,0.0,,14.0,2026-04-26,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Dresses,99901.95,99901.95,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Dresses,164817.61,143169.1,21648.51,0.8687,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Dresses,30093.7,21425.67,8668.03,0.712,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Dresses,17311.23,10567.45,6743.78,0.6104,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Dresses,67047.97,36056.23,30991.74,0.5378,14.0,2026-09-27,Open
