month_key,fiscal_year,fiscal_month,channel_key,channel,style_key,style_name,print_name,division,department,class_name,season,lifecycle,units_sold,sales_dollars,aur,on_hand_units,on_order_units,sell_through_pct,weeks_of_supply
FY2026-09,2026,Oct,STORE,Retail Stores,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,194,16635.09,85.75,186,67,0.5105,3.8
FY2026-09,2026,Oct,WHSL,Wholesale,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,378,26124.64,69.11,296,108,0.5608,3.1
FY2026-10,2026,Nov,ECOM,Ecommerce,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,280,25751.05,91.97,252,4,0.5263,3.6
FY2026-10,2026,Nov,STORE,Retail Stores,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,225,19560.84,86.94,339,28,0.3989,6.0
FY2026-10,2026,Nov,WHSL,Wholesale,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,447,30893.42,69.11,548,12,0.4492,4.9
FY2026-11,2026,Dec,ECOM,Ecommerce,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,595,56703.06,95.3,787,278,0.4305,6.6
FY2026-11,2026,Dec,STORE,Retail Stores,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,182,15506.0,85.2,269,154,0.4035,7.4
FY2026-11,2026,Dec,WHSL,Wholesale,ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Party Dress,Holiday,New,337,23291.01,69.11,589,239,0.3639,8.7
FY2025-01,2025,Feb,ECOM,Ecommerce,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,352,29522.41,83.87,407,357,0.4638,4.6
FY2025-01,2025,Feb,STORE,Retail Stores,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,245,20441.55,83.43,523,129,0.319,8.5
FY2025-01,2025,Feb,WHSL,Wholesale,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,511,34580.8,67.67,688,496,0.4262,5.4
FY2025-02,2025,Mar,ECOM,Ecommerce,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,416,35966.76,86.46,899,411,0.3163,10.8
FY2025-02,2025,Mar,STORE,Retail Stores,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,224,18569.84,82.9,470,31,0.3228,10.5
FY2025-02,2025,Mar,WHSL,Wholesale,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,404,27339.81,67.67,338,25,0.5445,4.2
FY2025-03,2025,Apr,ECOM,Ecommerce,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,274,22301.46,81.39,264,222,0.5093,3.9
FY2025-03,2025,Apr,STORE,Retail Stores,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,309,27086.46,87.66,669,57,0.316,8.7
FY2025-03,2025,Apr,WHSL,Wholesale,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,178,12045.76,67.67,195,12,0.4772,4.4
FY2026-01,2026,Feb,ECOM,Ecommerce,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,151,13182.14,87.3,126,10,0.5451,3.3
FY2026-01,2026,Feb,STORE,Retail Stores,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,140,12431.79,88.8,191,45,0.423,5.5
FY2026-01,2026,Feb,WHSL,Wholesale,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,232,15700.09,67.67,226,8,0.5066,3.9
FY2026-02,2026,Mar,ECOM,Ecommerce,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,387,33708.75,87.1,641,125,0.3765,8.3
FY2026-02,2026,Mar,STORE,Retail Stores,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,297,25957.45,87.4,433,166,0.4068,7.3
FY2026-02,2026,Mar,WHSL,Wholesale,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,212,14346.63,67.67,301,25,0.4133,7.1
FY2026-03,2026,Apr,ECOM,Ecommerce,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,413,36405.61,88.15,907,775,0.3129,8.8
FY2026-03,2026,Apr,STORE,Retail Stores,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,215,18752.0,87.22,241,115,0.4715,4.5
FY2026-03,2026,Apr,WHSL,Wholesale,ST-0002,Tulip Garden Day Dress,Garden Trellis,Girls,Dresses,Day Dress,Spring,New,337,22805.73,67.67,559,365,0.3761,6.6
FY2025-04,2025,May,ECOM,Ecommerce,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,16,1347.0,84.19,31,22,0.3404,7.8
FY2025-04,2025,May,STORE,Retail Stores,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,186,15826.09,85.09,131,37,0.5868,2.8
FY2025-04,2025,May,WHSL,Wholesale,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,66,4371.36,66.23,121,23,0.3529,7.3
FY2025-05,2025,Jun,ECOM,Ecommerce,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,595,51271.87,86.17,871,15,0.4059,7.3
FY2025-05,2025,Jun,STORE,Retail Stores,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,129,11299.89,87.6,289,167,0.3086,11.2
FY2025-05,2025,Jun,WHSL,Wholesale,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,369,24439.9,66.23,299,5,0.5524,4.1
FY2025-06,2025,Jul,ECOM,Ecommerce,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,308,24832.17,80.62,724,1,0.2984,9.4
FY2025-06,2025,Jul,STORE,Retail Stores,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,167,14961.03,89.59,374,55,0.3087,9.0
FY2025-06,2025,Jul,WHSL,Wholesale,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,363,24042.51,66.23,760,526,0.3232,8.4
FY2026-04,2026,May,ECOM,Ecommerce,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,595,52271.06,87.85,1402,1214,0.2979,9.4
FY2026-04,2026,May,STORE,Retail Stores,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,302,27452.82,90.9,661,96,0.3136,8.8
FY2026-04,2026,May,WHSL,Wholesale,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,239,15829.64,66.23,293,145,0.4492,4.9
FY2026-05,2026,Jun,ECOM,Ecommerce,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,140,11997.16,85.69,270,142,0.3415,9.6
FY2026-05,2026,Jun,STORE,Retail Stores,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,255,21488.3,84.27,536,150,0.3224,10.5
FY2026-05,2026,Jun,WHSL,Wholesale,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,357,23645.11,66.23,759,104,0.3199,10.6
FY2026-06,2026,Jul,ECOM,Ecommerce,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,385,34517.04,89.65,444,135,0.4644,4.6
FY2026-06,2026,Jul,STORE,Retail Stores,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,279,24440.56,87.6,602,52,0.3167,8.6
FY2026-06,2026,Jul,WHSL,Wholesale,ST-0003,Nantucket Stripe Day Dress,Nantucket Stripe,Girls,Dresses,Day Dress,Summer,New,327,21658.13,66.23,455,265,0.4182,5.6
FY2025-07,2025,Aug,ECOM,Ecommerce,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,571,54141.64,94.82,985,797,0.367,6.9
FY2025-07,2025,Aug,STORE,Retail Stores,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,211,22253.29,105.47,362,269,0.3682,6.9
FY2025-07,2025,Aug,WHSL,Wholesale,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,456,34798.64,76.31,458,106,0.4989,4.0
FY2025-08,2025,Sep,ECOM,Ecommerce,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,205,19077.88,93.06,480,406,0.2993,11.7
FY2025-08,2025,Sep,STORE,Retail Stores,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,333,33275.18,99.93,330,150,0.5023,5.0
FY2025-08,2025,Sep,WHSL,Wholesale,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,152,11599.55,76.31,292,97,0.3423,9.6
FY2025-09,2025,Oct,ECOM,Ecommerce,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,468,48018.2,102.6,947,838,0.3307,8.1
FY2025-09,2025,Oct,STORE,Retail Stores,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,115,11160.4,97.05,99,79,0.5374,3.4
FY2025-09,2025,Oct,WHSL,Wholesale,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,525,40064.22,76.31,1147,511,0.314,8.7
FY2026-07,2026,Aug,ECOM,Ecommerce,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,527,48318.9,91.69,371,65,0.5869,2.8
FY2026-07,2026,Aug,STORE,Retail Stores,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,24,2455.55,102.31,56,36,0.3,9.3
FY2026-07,2026,Aug,WHSL,Wholesale,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,284,21672.84,76.31,256,138,0.5259,3.6
FY2026-08,2026,Sep,ECOM,Ecommerce,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,105,10651.52,101.44,160,104,0.3962,7.6
FY2026-08,2026,Sep,STORE,Retail Stores,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,297,29776.53,100.26,431,16,0.408,7.3
FY2026-08,2026,Sep,WHSL,Wholesale,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,112,8547.03,76.31,212,78,0.3457,9.5
FY2026-09,2026,Oct,ECOM,Ecommerce,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,986,103820.0,105.29,1043,681,0.486,4.2
FY2026-09,2026,Oct,STORE,Retail Stores,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,288,30334.36,105.33,453,212,0.3887,6.3
FY2026-09,2026,Oct,WHSL,Wholesale,ST-0004,Autumn Gingham Day Dress,Wildflower,Girls,Dresses,Day Dress,Fall,New,223,17017.75,76.31,265,228,0.457,4.8
FY2025-09,2025,Oct,ECOM,Ecommerce,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,74,6699.62,90.54,155,63,0.3231,8.4
FY2025-09,2025,Oct,STORE,Retail Stores,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,166,13740.88,82.78,238,56,0.4109,5.7
FY2025-09,2025,Oct,WHSL,Wholesale,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,285,18876.35,66.23,600,252,0.322,8.4
FY2025-10,2025,Nov,ECOM,Ecommerce,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,608,49026.61,80.64,1385,292,0.3051,9.1
FY2025-10,2025,Nov,STORE,Retail Stores,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,245,21666.76,88.44,558,143,0.3051,9.1
FY2025-10,2025,Nov,WHSL,Wholesale,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,266,17617.92,66.23,612,21,0.303,9.2
FY2025-11,2025,Dec,ECOM,Ecommerce,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,34,3101.4,91.22,54,25,0.3864,7.9
FY2025-11,2025,Dec,STORE,Retail Stores,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,141,12122.39,85.97,244,105,0.3662,8.7
FY2025-11,2025,Dec,WHSL,Wholesale,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,14,927.26,66.23,33,10,0.2979,11.8
FY2026-09,2026,Oct,ECOM,Ecommerce,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,720,62708.87,87.1,554,132,0.5651,3.1
FY2026-09,2026,Oct,STORE,Retail Stores,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,255,23090.35,90.55,511,7,0.3329,8.0
FY2026-09,2026,Oct,WHSL,Wholesale,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,512,33911.19,66.23,643,425,0.4433,5.0
FY2026-10,2026,Nov,ECOM,Ecommerce,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,468,42540.41,90.9,504,204,0.4815,4.3
FY2026-10,2026,Nov,STORE,Retail Stores,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,83,7251.89,87.37,88,54,0.4854,4.2
FY2026-10,2026,Nov,WHSL,Wholesale,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,593,39276.05,66.23,1236,436,0.3242,8.3
FY2026-11,2026,Dec,ECOM,Ecommerce,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,314,27938.4,88.98,433,340,0.4203,6.9
FY2026-11,2026,Dec,STORE,Retail Stores,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,166,15029.36,90.54,224,116,0.4256,6.7
FY2026-11,2026,Dec,WHSL,Wholesale,ST-0005,Winter Fair Isle Day Dress,Candy Cane Stripe,Girls,Dresses,Day Dress,Holiday,New,193,12782.93,66.23,185,51,0.5106,4.8
FY2025-01,2025,Feb,ECOM,Ecommerce,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,182,13535.62,74.37,299,101,0.3784,6.6
FY2025-01,2025,Feb,STORE,Retail Stores,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,53,4261.15,80.4,109,31,0.3272,8.2
FY2025-01,2025,Feb,WHSL,Wholesale,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,318,19230.35,60.47,396,75,0.4454,5.0
FY2025-02,2025,Mar,ECOM,Ecommerce,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,368,29767.08,80.89,308,252,0.5444,4.2
FY2025-02,2025,Mar,STORE,Retail Stores,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,163,12558.68,77.05,289,125,0.3606,8.9
FY2025-02,2025,Mar,WHSL,Wholesale,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,330,19956.02,60.47,235,119,0.5841,3.6
FY2025-03,2025,Apr,ECOM,Ecommerce,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,899,66764.17,74.26,1524,277,0.371,6.8
FY2025-03,2025,Apr,STORE,Retail Stores,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,231,17657.49,76.44,308,132,0.4286,5.3
FY2025-03,2025,Apr,WHSL,Wholesale,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,154,9312.81,60.47,289,24,0.3476,7.5
FY2026-01,2026,Feb,ECOM,Ecommerce,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,349,26860.77,76.96,434,213,0.4457,5.0
FY2026-01,2026,Feb,STORE,Retail Stores,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,381,28672.06,75.25,397,21,0.4897,4.2
FY2026-01,2026,Feb,WHSL,Wholesale,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,340,20560.75,60.47,496,198,0.4067,5.8
FY2026-02,2026,Mar,ECOM,Ecommerce,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,541,40634.07,75.11,770,41,0.4127,7.1
FY2026-02,2026,Mar,STORE,Retail Stores,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,117,9644.54,82.43,237,137,0.3305,10.1
FY2026-02,2026,Mar,WHSL,Wholesale,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,263,15904.35,60.47,487,404,0.3507,9.3
FY2026-03,2026,Apr,ECOM,Ecommerce,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,414,31994.59,77.28,827,436,0.3336,8.0
FY2026-03,2026,Apr,STORE,Retail Stores,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,110,9125.05,82.96,93,22,0.5419,3.4
FY2026-03,2026,Apr,WHSL,Wholesale,ST-0006,Tulip Garden Maxi Dress,Hydrangea,Girls,Dresses,Maxi Dress,Spring,New,335,20258.39,60.47,593,342,0.361,7.1
FY2025-04,2025,May,ECOM,Ecommerce,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,378,36089.25,95.47,385,30,0.4954,4.1
FY2025-04,2025,May,STORE,Retail Stores,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,225,22153.86,98.46,232,40,0.4923,4.1
FY2025-04,2025,May,WHSL,Wholesale,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,570,41856.7,73.43,827,727,0.408,5.8
FY2025-05,2025,Jun,ECOM,Ecommerce,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,581,51314.3,88.32,1208,406,0.3248,10.4
FY2025-05,2025,Jun,STORE,Retail Stores,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,139,12990.41,93.46,116,74,0.5451,4.2
FY2025-05,2025,Jun,WHSL,Wholesale,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,259,19019.1,73.43,511,426,0.3364,9.9
FY2025-06,2025,Jul,ECOM,Ecommerce,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,421,37108.5,88.14,330,148,0.5606,3.1
FY2025-06,2025,Jul,STORE,Retail Stores,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,107,9669.6,90.37,77,23,0.5815,2.9
FY2025-06,2025,Jul,WHSL,Wholesale,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,363,26656.11,73.43,605,96,0.375,6.7
FY2026-04,2026,May,ECOM,Ecommerce,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,338,33742.78,99.83,685,76,0.3304,8.1
FY2026-04,2026,May,STORE,Retail Stores,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,393,39549.86,100.64,867,484,0.3119,8.8
FY2026-04,2026,May,WHSL,Wholesale,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,278,20414.32,73.43,250,51,0.5265,3.6
FY2026-05,2026,Jun,ECOM,Ecommerce,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,245,22716.25,92.72,396,251,0.3822,8.1
FY2026-05,2026,Jun,STORE,Retail Stores,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,337,31663.15,93.96,244,214,0.58,3.6
FY2026-05,2026,Jun,WHSL,Wholesale,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,503,36936.7,73.43,666,56,0.4303,6.6
FY2026-06,2026,Jul,ECOM,Ecommerce,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,648,60105.62,92.76,1500,844,0.3017,9.3
FY2026-06,2026,Jul,STORE,Retail Stores,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,309,30496.37,98.69,534,384,0.3665,6.9
FY2026-06,2026,Jul,WHSL,Wholesale,ST-0007,Palm Frond Maxi Dress,Strawberry Fields,Girls,Dresses,Maxi Dress,Summer,New,234,17183.28,73.43,471,214,0.3319,8.1
FY2025-07,2025,Aug,ECOM,Ecommerce,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,7,587.12,83.87,13,7,0.35,7.4
FY2025-07,2025,Aug,STORE,Retail Stores,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,394,32785.79,83.21,613,419,0.3913,6.2
FY2025-07,2025,Aug,WHSL,Wholesale,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,188,12451.77,66.23,297,39,0.3876,6.3
FY2025-08,2025,Sep,ECOM,Ecommerce,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,642,56276.8,87.66,1292,888,0.332,10.1
FY2025-08,2025,Sep,STORE,Retail Stores,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,153,13949.28,91.17,247,59,0.3825,8.1
FY2025-08,2025,Sep,WHSL,Wholesale,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,50,3311.64,66.23,69,31,0.4202,6.9
FY2025-09,2025,Oct,ECOM,Ecommerce,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,575,45982.94,79.97,908,9,0.3877,6.3
FY2025-09,2025,Oct,STORE,Retail Stores,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,259,22012.92,84.99,402,244,0.3918,6.2
FY2025-09,2025,Oct,WHSL,Wholesale,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,96,6358.35,66.23,106,51,0.4752,4.4
FY2026-07,2026,Aug,ECOM,Ecommerce,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,598,48110.2,80.45,589,217,0.5038,3.9
FY2026-07,2026,Aug,STORE,Retail Stores,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,297,26812.94,90.28,216,73,0.5789,2.9
FY2026-07,2026,Aug,WHSL,Wholesale,ST-0008,Autumn Gingham Maxi Dress,Wildflower,Girls,Dresses,Maxi Dress,Fall,New,213,14107.59,66.23,359,268,0.3724,6.7
