month_key,fiscal_year,fiscal_month,fiscal_month_no,fiscal_quarter,channel_key,channel,division,department,actual_sales_dollars,actual_sales_units,actual_aur,actual_markdown_dollars,actual_shrink_dollars,actual_gross_margin_dollars,actual_gross_margin_pct,actual_bom_retail,actual_eom_retail,actual_receipts_retail,actual_receipts_cost
FY2025-03,2025,Apr,3,Q1,ECOM,Ecommerce,Baby,Accessories,34215.39,1322.0,25.88,5053.89,146.47,16908.26,0.4942,70779.39,95380.6,64016.96,22794.15
FY2025-04,2025,May,4,Q2,ECOM,Ecommerce,Baby,Accessories,31471.56,1255.0,25.08,4216.15,121.6,15797.57,0.502,99227.91,86081.45,22662.85,8651.34
FY2025-05,2025,Jun,5,Q2,ECOM,Ecommerce,Baby,Accessories,25101.45,1061.0,23.66,5009.13,117.72,11467.88,0.4569,87296.8,62566.5,5498.0,2031.89
FY2025-06,2025,Jul,6,Q2,ECOM,Ecommerce,Baby,Accessories,27221.03,1047.0,26.0,3569.92,110.47,13514.81,0.4965,60843.18,70091.24,40149.48,14064.66
FY2025-07,2025,Aug,7,Q3,ECOM,Ecommerce,Baby,Accessories,21310.62,858.0,24.84,4033.04,98.73,10107.4,0.4743,73411.45,71152.64,23183.58,8480.34
FY2025-08,2025,Sep,8,Q3,ECOM,Ecommerce,Baby,Accessories,23924.14,991.0,24.14,4761.59,95.64,10996.18,0.4596,70448.96,66023.78,24356.19,9385.23
FY2025-09,2025,Oct,9,Q3,ECOM,Ecommerce,Baby,Accessories,20685.9,811.0,25.51,5368.13,143.17,8908.84,0.4307,64535.46,90301.9,51963.64,18527.38
FY2025-10,2025,Nov,10,Q4,ECOM,Ecommerce,Baby,Accessories,43084.04,1764.0,24.42,6360.29,177.33,20844.95,0.4838,85617.08,108325.83,72330.41,26862.81
FY2025-11,2025,Dec,11,Q4,ECOM,Ecommerce,Baby,Accessories,40535.16,1635.0,24.79,5805.67,191.22,20752.24,0.512,119115.54,102819.74,30236.25,10121.9
FY2025-12,2025,Jan,12,Q4,ECOM,Ecommerce,Baby,Accessories,16378.49,644.0,25.43,2553.94,65.27,8118.17,0.4957,98100.48,79102.78,0.0,0.0
FY2026-01,2026,Feb,1,Q1,ECOM,Ecommerce,Baby,Accessories,27996.82,1088.0,25.73,4716.81,115.5,12826.99,0.4582,77869.38,71509.92,26469.67,10779.91
FY2026-02,2026,Mar,2,Q1,ECOM,Ecommerce,Baby,Accessories,29015.86,1203.0,24.12,5533.06,133.37,13820.91,0.4763,77533.25,84415.35,41564.39,14127.42
FY2026-03,2026,Apr,3,Q1,ECOM,Ecommerce,Baby,Accessories,43268.23,1790.0,24.17,4800.67,181.6,22554.19,0.5213,78081.6,109312.86,79481.76,23740.1
FY2026-04,2026,May,4,Q2,ECOM,Ecommerce,Baby,Accessories,36211.84,1512.0,23.95,5006.05,128.61,18237.91,0.5036,111668.78,106641.2,36318.92,13611.37
FY2026-05,2026,Jun,5,Q2,ECOM,Ecommerce,Baby,Accessories,32374.87,1316.0,24.6,5585.69,118.39,15338.73,0.4738,107309.42,74179.85,4949.38,1903.07
FY2026-06,2026,Jul,6,Q2,ECOM,Ecommerce,Baby,Accessories,31279.25,1230.0,25.43,5180.64,108.78,14531.85,0.4646,73792.34,77869.7,40646.03,14138.35
FY2024-01,2024,Feb,1,Q1,STORE,Retail Stores,Baby,Accessories,8237.49,306.0,26.92,1261.46,76.57,4046.91,0.4913,24094.06,24971.58,10453.04,3822.01
FY2024-02,2024,Mar,2,Q1,STORE,Retail Stores,Baby,Accessories,10923.03,456.0,23.95,1307.22,114.91,5819.11,0.5327,25131.15,28064.13,15278.14,5689.91
FY2024-03,2024,Apr,3,Q1,STORE,Retail Stores,Baby,Accessories,12664.85,506.0,25.03,1378.69,112.46,6743.61,0.5325,27379.05,38892.57,25669.52,8430.19
FY2024-04,2024,May,4,Q2,STORE,Retail Stores,Baby,Accessories,13146.35,510.0,25.78,1740.03,127.58,6551.78,0.4984,36139.03,35248.76,14123.69,4872.91
FY2024-05,2024,Jun,5,Q2,STORE,Retail Stores,Baby,Accessories,12382.11,497.0,24.91,1457.71,102.13,6348.89,0.5127,36002.06,25185.22,3125.11,1038.28
FY2024-06,2024,Jul,6,Q2,STORE,Retail Stores,Baby,Accessories,8881.1,349.0,25.45,1067.4,94.57,4663.76,0.5251,26595.98,26319.84,9766.93,3675.59
FY2024-07,2024,Aug,7,Q3,STORE,Retail Stores,Baby,Accessories,10062.0,414.0,24.3,1068.38,101.62,5372.09,0.5339,26609.1,30513.93,15136.83,5744.14
FY2024-08,2024,Sep,8,Q3,STORE,Retail Stores,Baby,Accessories,11710.33,454.0,25.79,1201.76,112.31,6214.57,0.5307,30428.32,23439.17,6035.25,2109.15
FY2024-09,2024,Oct,9,Q3,STORE,Retail Stores,Baby,Accessories,12804.4,509.0,25.16,1742.34,110.19,6257.87,0.4887,25119.18,33447.85,22985.6,7527.22
FY2024-10,2024,Nov,10,Q4,STORE,Retail Stores,Baby,Accessories,18433.35,742.0,24.84,1797.5,159.66,9784.42,0.5308,33593.95,47305.14,34101.7,12029.7
FY2024-11,2024,Dec,11,Q4,STORE,Retail Stores,Baby,Accessories,18041.84,746.0,24.18,2068.96,179.01,9441.25,0.5233,49451.93,37376.16,8214.04,3576.57
FY2024-12,2024,Jan,12,Q4,STORE,Retail Stores,Baby,Accessories,7217.42,294.0,24.55,1060.67,57.91,3566.18,0.4941,39322.83,30986.83,0.0,0.0
FY2025-01,2025,Feb,1,Q1,STORE,Retail Stores,Baby,Accessories,9240.59,364.0,25.39,1107.93,94.34,4830.38,0.5227,31151.66,26207.93,5499.13,1727.58
FY2025-02,2025,Mar,2,Q1,STORE,Retail Stores,Baby,Accessories,14694.13,596.0,24.65,1521.71,110.16,7755.08,0.5278,25918.21,28443.03,18850.82,6440.14
FY2025-03,2025,Apr,3,Q1,STORE,Retail Stores,Baby,Accessories,15111.06,629.0,24.02,2187.16,152.72,7487.43,0.4955,29539.47,46293.52,34204.99,13240.82
FY2025-04,2025,May,4,Q2,STORE,Retail Stores,Baby,Accessories,12772.91,541.0,23.61,1951.11,138.75,6416.02,0.5023,45417.02,43186.69,12632.44,4143.09
FY2025-05,2025,Jun,5,Q2,STORE,Retail Stores,Baby,Accessories,12544.26,485.0,25.86,1522.81,106.37,6529.73,0.5205,41837.76,28516.06,851.74,322.58
FY2025-06,2025,Jul,6,Q2,STORE,Retail Stores,Baby,Accessories,11032.04,444.0,24.85,1289.6,103.55,5780.2,0.5239,28542.68,30567.96,14450.47,5097.88
FY2025-07,2025,Aug,7,Q3,STORE,Retail Stores,Baby,Accessories,11976.3,498.0,24.05,1568.62,118.55,6056.39,0.5057,30680.36,31959.93,14943.04,5996.36
FY2025-08,2025,Sep,8,Q3,STORE,Retail Stores,Baby,Accessories,11222.82,447.0,25.11,1440.42,102.86,5859.23,0.5221,32922.67,29209.74,9053.17,3067.56
FY2025-09,2025,Oct,9,Q3,STORE,Retail Stores,Baby,Accessories,11524.92,455.0,25.33,1484.25,98.62,6056.29,0.5255,28042.44,36316.72,21382.07,7459.12
FY2025-10,2025,Nov,10,Q4,STORE,Retail Stores,Baby,Accessories,19658.43,773.0,25.43,1661.3,186.19,10828.14,0.5508,37211.83,50067.37,34361.46,15113.65
FY2025-11,2025,Dec,11,Q4,STORE,Retail Stores,Baby,Accessories,19259.0,787.0,24.47,1950.51,155.33,10387.28,0.5393,56731.02,44124.18,8758.0,2851.79
FY2025-12,2025,Jan,12,Q4,STORE,Retail Stores,Baby,Accessories,8847.76,354.0,24.99,979.96,88.44,4566.58,0.5161,43909.32,33993.16,0.0,0.0
FY2026-01,2026,Feb,1,Q1,STORE,Retail Stores,Baby,Accessories,9935.03,394.0,25.22,1782.18,128.08,4728.2,0.4759,35009.72,31407.0,8242.57,2995.74
FY2026-02,2026,Mar,2,Q1,STORE,Retail Stores,Baby,Accessories,16778.31,657.0,25.54,1869.75,143.23,8833.11,0.5265,31201.68,35089.89,22679.5,8407.52
FY2026-03,2026,Apr,3,Q1,STORE,Retail Stores,Baby,Accessories,18336.05,703.0,26.08,2011.11,192.69,9749.34,0.5317,37569.44,50429.14,33399.55,14877.57
FY2026-04,2026,May,4,Q2,STORE,Retail Stores,Baby,Accessories,16111.18,657.0,24.52,1855.22,155.23,8547.66,0.5305,55227.64,48901.43,11795.42,3706.62
FY2026-05,2026,Jun,5,Q2,STORE,Retail Stores,Baby,Accessories,14003.25,566.0,24.74,1376.42,142.26,7692.05,0.5493,47462.56,35134.62,3193.99,1194.06
FY2026-06,2026,Jul,6,Q2,STORE,Retail Stores,Baby,Accessories,13363.84,532.0,25.12,1475.2,115.27,7037.13,0.5266,34077.8,36188.77,17065.28,5757.76
FY2024-01,2024,Feb,1,Q1,WHSL,Wholesale,Baby,Accessories,11318.19,589.0,19.22,345.69,15.0,5147.66,0.4548,14581.11,19140.98,16238.75,9622.22
FY2024-02,2024,Mar,2,Q1,WHSL,Wholesale,Baby,Accessories,13344.53,707.0,18.87,253.02,12.8,6139.42,0.4601,15010.1,8796.69,7396.94,3658.41
FY2024-03,2024,Apr,3,Q1,WHSL,Wholesale,Baby,Accessories,5829.24,310.0,18.8,99.39,7.52,2697.42,0.4627,9594.76,5827.6,2168.99,1202.0
FY2024-04,2024,May,4,Q2,WHSL,Wholesale,Baby,Accessories,5243.36,272.0,19.28,91.53,6.05,2419.8,0.4615,6033.27,5698.32,5005.99,2214.46
FY2024-05,2024,Jun,5,Q2,WHSL,Wholesale,Baby,Accessories,10456.28,547.0,19.12,194.84,14.33,4860.85,0.4649,5153.83,10104.3,15615.92,8990.7
FY2024-06,2024,Jul,6,Q2,WHSL,Wholesale,Baby,Accessories,12329.11,632.0,19.51,305.13,13.42,5625.74,0.4563,9568.59,13361.08,16440.15,8607.54
FY2024-07,2024,Aug,7,Q3,WHSL,Wholesale,Baby,Accessories,6730.77,363.0,18.54,149.26,8.04,3078.42,0.4574,13003.69,6115.62,0.0,0.0
FY2024-08,2024,Sep,8,Q3,WHSL,Wholesale,Baby,Accessories,10188.38,555.0,18.36,167.94,9.53,4712.44,0.4625,6289.8,6967.47,11043.52,4610.81
FY2024-09,2024,Oct,9,Q3,WHSL,Wholesale,Baby,Accessories,13925.79,786.0,17.72,340.31,11.87,6329.27,0.4545,7354.12,13349.62,20273.47,10035.95
FY2024-10,2024,Nov,10,Q4,WHSL,Wholesale,Baby,Accessories,8449.33,446.0,18.94,169.47,9.54,3877.17,0.4589,13069.16,7599.68,3158.86,1649.6
FY2024-11,2024,Dec,11,Q4,WHSL,Wholesale,Baby,Accessories,5627.88,268.0,21.0,87.82,5.19,2610.29,0.4638,8171.6,4118.72,1668.01,896.23
FY2024-12,2024,Jan,12,Q4,WHSL,Wholesale,Baby,Accessories,6274.97,336.0,18.68,141.77,6.55,2861.34,0.456,4380.28,5818.04,7861.05,3969.89
FY2025-01,2025,Feb,1,Q1,WHSL,Wholesale,Baby,Accessories,18929.47,1010.0,18.74,358.35,20.11,8695.27,0.4594,5764.64,15876.78,29420.07,15175.41
FY2025-02,2025,Mar,2,Q1,WHSL,Wholesale,Baby,Accessories,14429.6,739.0,19.53,289.0,15.53,6632.28,0.4596,17684.94,11627.44,8676.63,4479.86
FY2025-03,2025,Apr,3,Q1,WHSL,Wholesale,Baby,Accessories,7445.22,383.0,19.44,161.74,7.33,3395.51,0.4561,11965.54,5903.25,1552.0,935.07
FY2025-04,2025,May,4,Q2,WHSL,Wholesale,Baby,Accessories,6531.85,335.0,19.5,121.14,6.3,3002.14,0.4596,6897.55,5205.01,4966.75,2803.85
FY2025-05,2025,Jun,5,Q2,WHSL,Wholesale,Baby,Accessories,15104.62,775.0,19.49,311.31,16.56,6918.71,0.4581,6108.21,10109.25,19433.53,9336.06
FY2025-06,2025,Jul,6,Q2,WHSL,Wholesale,Baby,Accessories,14449.57,764.0,18.91,230.75,15.39,6724.37,0.4654,11132.88,17233.02,20795.85,9555.08
FY2025-07,2025,Aug,7,Q3,WHSL,Wholesale,Baby,Accessories,7583.8,392.0,19.35,186.29,9.44,3449.7,0.4549,16109.96,8330.43,0.0,0.0
FY2025-08,2025,Sep,8,Q3,WHSL,Wholesale,Baby,Accessories,10811.38,580.0,18.64,232.41,12.96,4960.15,0.4588,8550.3,8273.58,10780.03,5641.49
FY2025-09,2025,Oct,9,Q3,WHSL,Wholesale,Baby,Accessories,11851.25,611.0,19.4,389.54,15.89,5343.17,0.4509,8389.45,19001.78,22869.01,10921.17
FY2025-10,2025,Nov,10,Q4,WHSL,Wholesale,Baby,Accessories,9027.66,456.0,19.8,203.96,6.24,4126.76,0.4571,14741.29,8776.02,3272.59,1872.49
FY2025-11,2025,Dec,11,Q4,WHSL,Wholesale,Baby,Accessories,6078.17,305.0,19.93,136.68,6.73,2788.49,0.4588,9256.75,5276.05,2240.88,1212.39
FY2025-12,2025,Jan,12,Q4,WHSL,Wholesale,Baby,Accessories,7331.44,382.0,19.19,127.34,7.18,3382.11,0.4613,5018.62,6393.96,8841.3,4941.25
FY2026-01,2026,Feb,1,Q1,WHSL,Wholesale,Baby,Accessories,18035.45,977.0,18.46,496.94,19.83,8200.63,0.4547,7047.01,16822.11,28327.32,16560.24
FY2026-02,2026,Mar,2,Q1,WHSL,Wholesale,Baby,Accessories,14610.71,804.0,18.17,417.33,15.35,6640.34,0.4545,19293.55,14188.88,9938.72,5418.62
FY2026-03,2026,Apr,3,Q1,WHSL,Wholesale,Baby,Accessories,8365.29,418.0,20.01,171.29,8.17,3835.36,0.4585,12656.36,7122.42,3010.81,1935.66
FY2026-04,2026,May,4,Q2,WHSL,Wholesale,Baby,Accessories,7654.24,394.0,19.43,134.71,7.11,3523.66,0.4604,7899.47,6021.11,5917.7,2824.88
FY2026-05,2026,Jun,5,Q2,WHSL,Wholesale,Baby,Accessories,15966.74,806.0,19.81,312.58,19.6,7377.75,0.4621,6618.1,13937.19,23618.01,11974.93
FY2026-06,2026,Jul,6,Q2,WHSL,Wholesale,Baby,Accessories,17603.14,890.0,19.78,423.57,20.83,8041.47,0.4568,14267.87,20630.08,24409.75,12409.09
FY2024-01,2024,Feb,1,Q1,ECOM,Ecommerce,Baby,Rompers,43476.5,888.0,48.96,5924.65,196.23,22070.89,0.5077,131186.67,126994.85,45405.56,17221.07
FY2024-02,2024,Mar,2,Q1,ECOM,Ecommerce,Baby,Rompers,61276.06,1273.0,48.14,11331.4,233.59,28510.04,0.4653,129015.48,153666.07,97491.64,32451.31
FY2024-03,2024,Apr,3,Q1,ECOM,Ecommerce,Baby,Rompers,62805.7,1310.0,47.94,8957.29,248.34,32341.82,0.515,146720.1,206264.68,131555.91,53058.3
FY2024-04,2024,May,4,Q2,ECOM,Ecommerce,Baby,Rompers,56216.96,1144.0,49.14,9068.4,284.68,28132.19,0.5004,215755.38,202911.89,52726.55,17754.16
FY2024-05,2024,Jun,5,Q2,ECOM,Ecommerce,Baby,Rompers,53294.04,1077.0,49.48,7586.64,257.21,27794.54,0.5215,193079.99,146473.68,14531.58,4693.18
FY2024-06,2024,Jul,6,Q2,ECOM,Ecommerce,Baby,Rompers,46047.54,931.0,49.46,8475.86,220.5,21981.08,0.4774,134472.56,161661.75,81933.09,30436.91
FY2024-07,2024,Aug,7,Q3,ECOM,Ecommerce,Baby,Rompers,46125.31,991.0,46.54,7280.3,235.31,22980.22,0.4982,156490.09,153802.15,50952.98,19423.67
FY2024-08,2024,Sep,8,Q3,ECOM,Ecommerce,Baby,Rompers,50943.9,1105.0,46.1,11962.51,236.88,21951.58,0.4309,150161.27,143857.86,56839.88,21936.13
FY2024-09,2024,Oct,9,Q3,ECOM,Ecommerce,Baby,Rompers,58743.24,1241.0,47.34,9389.62,269.66,28609.56,0.487,138173.37,179547.24,109776.39,38402.41
FY2024-10,2024,Nov,10,Q4,ECOM,Ecommerce,Baby,Rompers,80017.54,1676.0,47.74,10909.39,363.32,41067.97,0.5132,166937.53,241345.24,165697.96,63207.33
FY2024-11,2024,Dec,11,Q4,ECOM,Ecommerce,Baby,Rompers,100219.77,2073.0,48.35,16412.58,388.56,47286.71,0.4718,234843.31,210186.65,92364.25,40842.69
FY2024-12,2024,Jan,12,Q4,ECOM,Ecommerce,Baby,Rompers,38912.58,879.0,44.27,5582.17,151.65,19330.63,0.4968,223121.92,178475.52,0.0,0.0
FY2025-01,2025,Feb,1,Q1,ECOM,Ecommerce,Baby,Rompers,54840.05,1161.0,47.24,6843.8,284.93,28006.4,0.5107,178959.27,145482.68,28492.19,8641.72
FY2025-02,2025,Mar,2,Q1,ECOM,Ecommerce,Baby,Rompers,74500.15,1593.0,46.77,14551.36,290.9,33311.09,0.4471,144087.07,163241.0,108496.34,36198.85
FY2025-03,2025,Apr,3,Q1,ECOM,Ecommerce,Baby,Rompers,80732.23,1717.0,47.02,12161.46,351.96,39554.38,0.4899,167717.54,214879.46,140407.57,47523.29
FY2025-04,2025,May,4,Q2,ECOM,Ecommerce,Baby,Rompers,88155.02,1797.0,49.06,7921.38,312.56,47015.28,0.5333,228517.04,213416.39,81288.31,26291.76
FY2025-05,2025,Jun,5,Q2,ECOM,Ecommerce,Baby,Rompers,68171.75,1398.0,48.76,11760.66,239.48,31819.74,0.4668,223995.7,145394.17,1570.36,676.49
FY2025-06,2025,Jul,6,Q2,ECOM,Ecommerce,Baby,Rompers,52610.13,1098.0,47.91,7913.5,235.75,26304.67,0.5,148879.68,150796.32,62676.02,25845.85
FY2025-07,2025,Aug,7,Q3,ECOM,Ecommerce,Baby,Rompers,57117.1,1178.0,48.49,10159.85,214.99,27219.42,0.4766,153913.16,185251.78,98830.56,35083.57
FY2025-08,2025,Sep,8,Q3,ECOM,Ecommerce,Baby,Rompers,67193.99,1408.0,47.72,9966.71,233.84,33050.06,0.4919,185594.13,153229.73,45030.14,18484.92
FY2025-09,2025,Oct,9,Q3,ECOM,Ecommerce,Baby,Rompers,57535.06,1296.0,44.39,7893.04,247.32,30329.08,0.5271,161090.21,210267.09,114852.3,47160.29
FY2025-10,2025,Nov,10,Q4,ECOM,Ecommerce,Baby,Rompers,95330.83,1886.0,50.55,14711.38,366.89,46985.0,0.4929,204102.95,262779.15,169085.3,58511.81
FY2025-11,2025,Dec,11,Q4,ECOM,Ecommerce,Baby,Rompers,114448.76,2360.0,48.5,17345.52,462.92,54953.79,0.4802,274692.76,241834.95,99399.39,29995.23
FY2025-12,2025,Jan,12,Q4,ECOM,Ecommerce,Baby,Rompers,39478.79,849.0,46.5,5750.99,179.86,20127.65,0.5098,240127.52,194717.88,0.0,0.0
FY2026-01,2026,Feb,1,Q1,ECOM,Ecommerce,Baby,Rompers,48517.31,948.0,51.18,7270.53,224.55,24222.74,0.4993,190039.68,148006.89,13979.6,5363.74
FY2026-02,2026,Mar,2,Q1,ECOM,Ecommerce,Baby,Rompers,73055.62,1491.0,49.0,13541.01,271.42,33572.73,0.4596,146827.3,162429.92,102470.67,39399.08
FY2026-03,2026,Apr,3,Q1,ECOM,Ecommerce,Baby,Rompers,87892.4,1692.0,51.95,9487.03,294.97,46408.71,0.528,165006.07,226886.31,159554.64,66876.69
FY2026-04,2026,May,4,Q2,ECOM,Ecommerce,Baby,Rompers,86319.97,1816.0,47.53,11377.68,331.64,42798.86,0.4958,244029.63,220635.76,74635.42,27276.81
FY2026-05,2026,Jun,5,Q2,ECOM,Ecommerce,Baby,Rompers,69906.91,1411.0,49.54,10068.12,267.27,34832.63,0.4983,233737.86,170756.45,17260.89,5631.32
FY2026-06,2026,Jul,6,Q2,ECOM,Ecommerce,Baby,Rompers,56610.04,1190.0,47.57,8204.68,231.36,28601.3,0.5052,167612.1,171998.96,69432.94,27613.25
FY2024-01,2024,Feb,1,Q1,STORE,Retail Stores,Baby,Rompers,19678.28,433.0,45.45,1817.84,180.58,10811.11,0.5494,56205.09,58227.47,23699.08,9029.14
FY2024-02,2024,Mar,2,Q1,STORE,Retail Stores,Baby,Rompers,26745.12,568.0,47.09,3512.74,299.42,13878.98,0.5189,57916.86,67037.99,39678.41,14437.53
FY2024-03,2024,Apr,3,Q1,STORE,Retail Stores,Baby,Rompers,34505.85,723.0,47.73,2489.01,267.92,19412.9,0.5626,64257.94,85924.6,58929.44,22036.34
FY2024-04,2024,May,4,Q2,STORE,Retail Stores,Baby,Rompers,26503.42,543.0,48.81,2697.25,368.83,14608.38,0.5512,91922.54,90391.87,28038.83,8752.2
FY2024-05,2024,Jun,5,Q2,STORE,Retail Stores,Baby,Rompers,28421.7,616.0,46.14,4175.54,288.54,14000.27,0.4926,86815.37,66653.38,12723.79,4330.31
FY2024-06,2024,Jul,6,Q2,STORE,Retail Stores,Baby,Rompers,22621.08,466.0,48.54,2701.28,205.24,11887.08,0.5255,67631.06,69758.89,27655.43,11252.18
FY2024-07,2024,Aug,7,Q3,STORE,Retail Stores,Baby,Rompers,21170.14,416.0,50.89,2274.35,220.61,11593.53,0.5476,69949.38,73607.31,27323.03,8977.97
FY2024-08,2024,Sep,8,Q3,STORE,Retail Stores,Baby,Rompers,25482.03,557.0,45.75,3258.79,288.12,13204.14,0.5182,70019.7,63004.34,22013.58,9189.94
FY2024-09,2024,Oct,9,Q3,STORE,Retail Stores,Baby,Rompers,26283.05,526.0,49.97,3280.06,293.68,13758.26,0.5235,64219.78,82900.16,48537.17,19364.3
FY2024-10,2024,Nov,10,Q4,STORE,Retail Stores,Baby,Rompers,37877.4,818.0,46.3,4649.09,323.02,19743.34,0.5212,81137.67,116165.16,77877.0,29418.33
FY2024-11,2024,Dec,11,Q4,STORE,Retail Stores,Baby,Rompers,36076.57,739.0,48.82,5174.37,444.7,18688.83,0.518,117301.17,112920.22,37314.69,11685.76
FY2024-12,2024,Jan,12,Q4,STORE,Retail Stores,Baby,Rompers,17361.78,357.0,48.63,1844.85,153.02,9334.82,0.5377,102525.3,83165.65,0.0,0.0
FY2025-01,2025,Feb,1,Q1,STORE,Retail Stores,Baby,Rompers,22259.42,462.0,48.18,1847.75,220.7,12543.58,0.5635,82341.47,73719.11,15705.51,5974.45
FY2025-02,2025,Mar,2,Q1,STORE,Retail Stores,Baby,Rompers,29681.44,621.0,47.8,3593.15,306.72,15711.72,0.5293,71513.53,73225.61,35293.39,13308.86
FY2025-03,2025,Apr,3,Q1,STORE,Retail Stores,Baby,Rompers,32597.97,675.0,48.29,4641.82,384.95,16778.55,0.5147,70003.27,116223.0,83844.47,29336.11
FY2025-04,2025,May,4,Q2,STORE,Retail Stores,Baby,Rompers,31007.11,649.0,47.78,3835.53,325.63,16341.76,0.527,109395.36,107740.06,33512.97,12050.74
FY2025-05,2025,Jun,5,Q2,STORE,Retail Stores,Baby,Rompers,30466.73,612.0,49.78,3854.06,256.39,15644.68,0.5135,102376.85,68352.49,552.82,220.36
FY2025-06,2025,Jul,6,Q2,STORE,Retail Stores,Baby,Rompers,21969.66,473.0,46.45,1870.83,282.39,12651.77,0.5759,69257.63,78972.54,33837.79,12348.06
FY2025-07,2025,Aug,7,Q3,STORE,Retail Stores,Baby,Rompers,27135.44,535.0,50.72,4682.44,280.42,12805.09,0.4719,76359.83,82090.21,37828.68,14452.32
FY2025-08,2025,Sep,8,Q3,STORE,Retail Stores,Baby,Rompers,27519.63,575.0,47.86,3248.77,292.51,14632.71,0.5317,84605.54,74775.25,21230.62,8173.55
FY2025-09,2025,Oct,9,Q3,STORE,Retail Stores,Baby,Rompers,30574.63,653.0,46.82,3537.81,257.27,16182.97,0.5293,73283.72,100460.55,61546.54,20505.46
FY2025-10,2025,Nov,10,Q4,STORE,Retail Stores,Baby,Rompers,47035.62,977.0,48.14,5617.46,403.48,24511.17,0.5211,95164.65,121843.79,79735.7,31006.66
FY2025-11,2025,Dec,11,Q4,STORE,Retail Stores,Baby,Rompers,46669.29,980.0,47.62,7405.92,431.74,22779.55,0.4881,128991.52,116160.01,41675.44,14222.41
FY2025-12,2025,Jan,12,Q4,STORE,Retail Stores,Baby,Rompers,16836.61,341.0,49.37,2299.17,166.78,8815.2,0.5236,116212.53,96909.97,0.0,0.0
FY2026-01,2026,Feb,1,Q1,STORE,Retail Stores,Baby,Rompers,26444.8,557.0,47.48,2546.56,212.51,14170.61,0.5359,93987.27,66936.78,2153.38,864.23
FY2026-02,2026,Mar,2,Q1,STORE,Retail Stores,Baby,Rompers,32898.43,700.0,47.0,3417.52,389.87,17807.67,0.5413,69634.87,81100.5,48171.45,16897.38
FY2026-03,2026,Apr,3,Q1,STORE,Retail Stores,Baby,Rompers,39580.97,814.0,48.63,4774.46,378.67,20463.62,0.517,77991.03,109610.82,76353.89,22513.99
FY2026-04,2026,May,4,Q2,STORE,Retail Stores,Baby,Rompers,30230.77,634.0,47.68,4633.04,346.91,15255.33,0.5046,106482.09,102258.75,30987.38,12778.27
